,sehir,ilce,akp,mhp,bbp,yrefah,chp,iyip,ysp,tip,zafer,memleket,rte,kk,so,mi,akp_2018,mhp_2018,chp_2018,iyip_2018,sp_2018,hdp_2018,vp_2018,hudapar_2018,rte_2018,mi_2018,ma_2018,sd_2018,tk_2018,dp_2018,secmen_sayisi_2023,gecerli_oy_sayisi_2023,katilim_orani_2023,secmen_sayisi_2018,gecerli_oy_sayisi_2018,katilim_orani_2018
0,adana,ALADAĞ,42.03,15.46,1.03,3.36,19.42,12.31,0.36,1.98,1.73,0.63,61.4,33.2,4.6,0.8,49.16,17.94,14.87,15.26,1.29,0.6,0.42,0.43,61.9,19.4,16.8,0.5,1.0,0.3,12330.0,10872.0,91.1,12018.0,10443.0,90.1
1,adana,CEYHAN,31.39,12.42,0.44,1.11,24.78,11.03,13.43,1.63,1.82,0.78,45.4,49.8,4.3,0.5,31.12,14.54,23.1,13.19,0.84,16.57,0.2,0.4,42.1,32.2,11.4,13.5,0.6,0.2,112582.0,96851.0,87.7,110714.0,93013.0,85.9
2,adana,ÇUKUROVA,20.97,9.01,0.51,1.31,40.66,16.01,3.65,3.47,2.63,0.88,31.4,62.9,5.5,0.2,24.46,10.25,38.26,17.22,1.25,8.17,0.19,0.15,32.4,52.4,11.5,2.7,0.8,0.2,287869.0,256488.0,90.0,266788.0,234386.0,88.9
3,adana,FEKE,41.0,18.46,2.6,3.51,19.26,9.8,0.21,0.47,1.71,0.71,64.5,29.0,5.5,1.0,55.56,15.53,12.56,13.72,1.21,0.41,0.4,0.54,66.0,16.5,15.8,0.3,1.0,0.4,12788.0,10661.0,86.3,12564.0,10601.0,87.5
4,adana,İMAMOĞLU,40.24,22.04,0.72,2.53,18.01,9.94,2.34,0.41,1.97,0.82,65.7,29.1,4.7,0.5,49.69,15.16,16.54,14.41,1.38,2.36,0.2,0.22,62.0,21.8,13.5,1.5,1.1,0.2,20211.0,17719.0,89.7,20256.0,16411.0,83.7
5,adana,KARAİSALI,47.07,21.98,0.74,2.09,12.61,11.24,0.42,0.32,1.93,0.64,71.0,23.1,5.3,0.6,56.46,17.43,9.16,14.46,1.33,0.64,0.18,0.33,69.8,13.7,15.1,0.3,1.0,0.1,17312.0,15599.0,92.5,16041.0,14146.0,90.6
6,adana,KARATAŞ,19.15,16.06,0.25,0.77,41.77,10.86,4.87,3.87,1.09,0.45,35.4,61.9,2.5,0.2,25.25,13.89,37.66,10.83,0.75,11.24,0.17,0.22,37.0,48.6,9.9,4.1,0.3,0.1,17032.0,15097.0,89.9,16151.0,13917.0,87.8
7,adana,KOZAN,40.23,12.94,5.88,3.41,17.35,14.65,0.48,0.43,2.49,0.79,60.0,32.5,7.0,0.5,47.9,15.9,14.63,18.39,1.36,1.2,0.27,0.32,60.9,21.7,15.8,0.5,0.9,0.2,97522.0,84083.0,88.2,92315.0,76696.0,85.4
8,adana,POZANTI,39.67,16.78,0.76,2.03,23.8,11.25,0.92,0.71,2.11,0.71,58.7,35.4,5.6,0.4,45.93,15.86,20.94,13.33,1.65,1.81,0.22,0.23,58.7,26.6,12.2,0.9,1.3,0.3,15318.0,13368.0,89.3,14503.0,12828.0,90.9
9,adana,SAİMBEYLİ,41.1,20.86,11.1,3.47,12.26,6.88,0.22,0.34,1.69,0.46,74.5,20.0,4.9,0.7,51.91,24.69,10.67,10.05,0.92,0.79,0.49,0.41,72.9,14.4,11.2,0.3,0.8,0.4,10729.0,8656.0,83.5,10942.0,8665.0,82.3
